Id;Name;MakeId;OriginalId
88000988;Other (bus);88;988
88000989;Unknown (bus);88;989
88000998;Other (vehicle);88;998
88000999;Unknown (IVECO/MAGIRUS);88;999
89000850;Motor Home;89;850
89000881;Medium/Heavy - CBE;89;881
89000882;Medium/Heavy – COE low entry;89;882
89000883;Medium/Heavy – COE high entry;89;883
89000884;Medium/Heavy – Unknown engine location;89;884
89000890;Medium/Heavy – COE entry position unknown;89;890
89000898;Other (medium/heavy truck);89;898
89000981;Bus**: Conventional (Engine out front);89;981
89000982;Bus: Front engine, Flat front;89;982
89000983;Bus: Rear engine, Flat front;89;983
89000988;Other (bus);89;988
89000989;Unknown (bus);89;989
89000998;Other (vehicle);89;998
89000999;Unknown (WHITE/AUTOCAR-WHITE/GMC);89;999
90000461;Van Based;90;461
90000981;Bus**: Conventional (Engine out front);90;981
90000982;Bus: Front engine, Flat front;90;982
90000983;Bus: Rear engine, Flat front;90;983
90000988;Other (bus);90;988
90000989;Unknown (Bus);90;989
90000999;Unknown (BLUEBIRD);90;999
91000981;Bus**: Conventional (Engine out front);91;981
91000982;Bus: Front engine, Flat front;91;982
91000983;Bus: Rear engine, Flat front;91;983
91000988;Other (bus);91;988
91000989;Unknown (Bus);91;989
92000981;Bus**: Conventional (Engine out front);92;981
92000982;Bus: Front engine, Flat front;92;982
92000983;Bus: Rear engine, Flat front;92;983
92000988;Other (bus);92;988
92000989;Unknown (bus);92;989
93000981;Bus**: Conventional (Engine out front);93;981
93000982;Bus: Front engine, Flat front;93;982
93000983;Bus: Rear engine, Flat front;93;983
93000988;Other (bus);93;988
93000989;Unknown (bus);93;989
94000461;Van Based;94;461
94000981;Bus**: Conventional (Engine out front);94;981
94000982;Bus: Front engine, Flat front;94;982
94000983;Bus: Rear engine, Flat front;94;983
94000988;Other (bus);94;988
94000989;Unknown (bus);94;989
94000999;Unknown(THOMAS BUILT);94;999
97000997;Not Reported;97;997
58000498;Other (light truck);58;498
58000499;Unknown (Light Truck);58;499
58000999;Unknown (INFINITI);58;999
59000031;ES-250/300/300h/330/ 350;59;31
59000032;LS-400/430/460/460L/600h/600hL;59;32
59000033;SC-400/SC-300;59;33
59000034;GS-300/350/400/430/ 450h/460;59;34
59000035;IS-250/300/350/500/200t;59;35
59000036;SC-430;59;36
59000037;HS 250h;59;37
59000038;CT 200h;59;38
59000039;LFA;59;39
59000040;RC;59;40
59000042;LC Series;59;42
59000043;UX;59;43
59000398;Other (automobile);59;398
59000399;Unknown (automobile);59;399
59000401;RX300/350;59;401
59000402;GX470;59;402
59000403;RX330/350/400h/450h;59;403
59000404;GX460;59;404
59000405;NX;59;405
59000421;LX450/470/570;59;421
59000498;Other (light truck);59;498
59000499;Unknown (light truck);59;499
59000999;Unknown (LEXUS);59;999
60000031;Charade;60;31
